step,episode_step,terminated,truncated,ball_x,ball_y,ball_rel_waist_x,ball_rel_waist_y,ball_rel_waist_z,ball_qvel_x,ball_qvel_y,ball_speed_qvel,info_ball_speed,ball_visible,termination_ball_unseen,termination_ball_out,termination_fallen,reward_total
1,1,False,False,0.7285527586936951,1.95388662815094,1.99129056930542,-0.23072609305381775,-0.4604068994522095,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07751631736755371
2,2,False,False,0.7285527586936951,1.95388662815094,1.984763503074646,-0.1851987987756729,-0.4896843731403351,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06322766840457916
3,3,False,False,0.7285527586936951,1.95388662815094,1.977933645248413,-0.13661350309848785,-0.5150572061538696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06056126952171326
4,4,False,False,0.7285527586936951,1.95388662815094,1.9683418273925781,-0.12649032473564148,-0.5377963781356812,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.056904878467321396
5,5,False,False,0.7285527586936951,1.95388662815094,1.9560585021972656,-0.1415710598230362,-0.5623843669891357,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0519954152405262
6,6,False,False,0.7285527586936951,1.95388662815094,1.9426268339157104,-0.1573418378829956,-0.5892655849456787,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04538974538445473
7,7,False,False,0.7285527586936951,1.95388662815094,1.9285531044006348,-0.1726752668619156,-0.6177461743354797,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.037739675492048264
8,8,False,False,0.7285527586936951,1.95388662815094,1.9150434732437134,-0.186257004737854,-0.6453992128372192,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03058813326060772
9,9,False,False,0.7285527586936951,1.95388662815094,1.9082319736480713,-0.19509664177894592,-0.659446656703949,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.027451438829302788
10,10,False,False,0.7285527586936951,1.95388662815094,1.9158824682235718,-0.18907882273197174,-0.6450643539428711,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.026198480278253555
11,11,False,False,0.7285527586936951,1.95388662815094,1.9334155321121216,-0.18078596889972687,-0.606903612613678,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02286139689385891
12,12,False,False,0.7285527586936951,1.95388662815094,1.9551829099655151,-0.15143591165542603,-0.5589272975921631,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01819186843931675
13,13,False,False,0.7285527586936951,1.95388662815094,1.9717532396316528,-0.11899835616350174,-0.5196883082389832,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.012400778010487556
14,14,False,False,0.7285527586936951,1.95388662815094,1.9800455570220947,-0.095380038022995,-0.49840521812438965,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.005328934174031019
15,15,False,False,0.7285527586936951,1.95388662815094,1.9805139303207397,-0.08081172406673431,-0.4971899390220642,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0010194254573434591
16,16,False,False,0.7285527586936951,1.95388662815094,1.9745347499847412,-0.07641702145338058,-0.5131582021713257,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0008650870295241475
17,17,False,False,0.7285527586936951,1.95388662815094,1.9675606489181519,-0.08483795076608658,-0.5300597548484802,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0010256966343149543
18,18,False,False,0.7285527586936951,1.95388662815094,1.9658507108688354,-0.10338260233402252,-0.5300424098968506,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000681547389831394
19,19,False,False,0.7285527586936951,1.95388662815094,1.9685676097869873,-0.13131645321846008,-0.5139792561531067,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.001657760119996965
20,20,False,False,0.7285527586936951,1.95388662815094,1.9702050685882568,-0.16965410113334656,-0.4952104985713959,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0017492844490334392
