step,episode_step,terminated,truncated,root_qpos_z,info_root_height,ball_x,ball_y,ball_rel_waist_x,ball_rel_waist_y,ball_rel_waist_z,ball_qvel_x,ball_qvel_y,ball_speed_qvel,info_ball_speed,ball_visible,termination_ball_unseen,termination_ball_out,termination_fallen,reward_total
1,1,False,False,0.6247495412826538,0.6264179348945618,0.4981427490711212,2.0076069831848145,1.9981365203857422,0.020705142989754677,-0.42426255345344543,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.06778793781995773
2,2,False,False,0.6157061457633972,0.618251621723175,0.4981427490711212,2.0076069831848145,2.009320020675659,0.08202061057090759,-0.3770211338996887,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.06831536442041397
3,3,False,False,0.6041612029075623,0.6072264313697815,0.4981427490711212,2.0076069831848145,2.0085246562957764,0.1481594443321228,-0.3568698763847351,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.050304848700761795
4,4,False,False,0.5911735892295837,0.5944814682006836,0.4981427490711212,2.0076069831848145,1.9962414503097534,0.20368348062038422,-0.3703281283378601,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.04987871274352074
5,5,False,False,0.5778174996376038,0.5811445713043213,0.4981427490711212,2.0076069831848145,1.9782823324203491,0.23305952548980713,-0.40699681639671326,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.03263331949710846
6,6,False,False,0.5648090243339539,0.5679816603660583,0.4981427490711212,2.0076069831848145,1.959222674369812,0.23837631940841675,-0.45293423533439636,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.025770653039216995
7,7,False,False,0.5529632568359375,0.5557671785354614,0.4981427490711212,2.0076069831848145,1.939867377281189,0.23142606019973755,-0.5013953447341919,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.021213127300143242
8,8,False,False,0.5431997179985046,0.5454007387161255,0.4981427490711212,2.0076069831848145,1.9192453622817993,0.21976256370544434,-0.5521737337112427,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.015251301229000092
9,9,False,False,0.5356671810150146,0.537415087223053,0.4981427490711212,2.0076069831848145,1.8977800607681274,0.2179032415151596,-0.5999520421028137,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.010581443086266518
10,10,False,False,0.5298876762390137,0.5312413573265076,0.4981427490711212,2.0076069831848145,1.8833996057510376,0.2265571504831314,-0.6267425417900085,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.016036292538046837
11,11,False,False,0.5255782008171082,0.5265522003173828,0.4981427490711212,2.0076069831848145,1.8832217454910278,0.23264501988887787,-0.6222280859947205,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.01798301935195923
12,12,False,False,0.5223581790924072,0.5230551362037659,0.4981427490711212,2.0076069831848145,1.894410490989685,0.2347630113363266,-0.5925365090370178,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.018598070368170738
13,13,False,False,0.5208338499069214,0.5209575295448303,0.4981427490711212,2.0076069831848145,1.9094579219818115,0.23327763378620148,-0.5530124306678772,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.016021249815821648
14,14,False,False,0.5211689472198486,0.5210646986961365,0.4981427490711212,2.0076069831848145,1.9271340370178223,0.20973657071590424,-0.5116485357284546,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.010864408686757088
15,15,False,False,0.5216073393821716,0.5215162634849548,0.4981427490711212,2.0076069831848145,1.9450039863586426,0.21411244571208954,-0.45694559812545776,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.008629602380096912
16,16,False,False,0.5226161479949951,0.5222629904747009,0.4981427490711212,2.0076069831848145,1.962174892425537,0.2279704362154007,-0.3955426812171936,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.009073584340512753
17,17,False,False,0.5239473581314087,0.523669421672821,0.4981427490711212,2.0076069831848145,1.9719183444976807,0.24060767889022827,-0.3538742661476135,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.006541715003550053
18,18,False,False,0.5245523452758789,0.5244983434677124,0.4981427490711212,2.0076069831848145,1.9767351150512695,0.24429820477962494,-0.32996100187301636,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.004566733725368977
19,19,False,False,0.5243082046508789,0.5244701504707336,0.4981427490711212,2.0076069831848145,1.98038649559021,0.2354716807603836,-0.31440481543540955,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.003525631967931986
20,20,False,False,0.5231778621673584,0.5235199332237244,0.4981427490711212,2.0076069831848145,1.9814157485961914,0.22230979800224304,-0.3092552125453949,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.002402337035164237
21,21,False,False,0.5214499235153198,0.5219107270240784,0.4981427490711212,2.0076069831848145,1.9787209033966064,0.2078884392976761,-0.31728920340538025,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0012329345336183906
22,22,False,False,0.5200306177139282,0.5201659798622131,0.4981427490711212,2.0076069831848145,1.9727692604064941,0.19292451441287994,-0.3361084461212158,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.000441465963376686
23,23,False,False,0.5207203030586243,0.5203937888145447,0.4981427490711212,2.0076069831848145,1.9639121294021606,0.17611102759838104,-0.3659270405769348,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0008382648229598999
24,24,False,False,0.5229731798171997,0.5222499370574951,0.4981427490711212,2.0076069831848145,1.950671672821045,0.14263004064559937,-0.4121493101119995,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0036372989416122437
25,25,False,False,0.52683424949646,0.5257377624511719,0.4981427490711212,2.0076069831848145,1.9356374740600586,0.1441480964422226,-0.4520930349826813,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0008118897676467896
26,26,False,False,0.5323064923286438,0.5307231545448303,0.4981427490711212,2.0076069831848145,1.9234974384307861,0.16807584464550018,-0.47634434700012207,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0012662349035963416
27,27,False,False,0.5391404032707214,0.5374029278755188,0.4981427490711212,2.0076069831848145,1.922723412513733,0.16598404943943024,-0.47455233335494995,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.003310645464807749
28,28,False,False,0.5453781485557556,0.543918788433075,0.4981427490711212,2.0076069831848145,1.937144160270691,0.1227196604013443,-0.4368115961551666,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.005750655196607113
29,29,False,False,0.5508071184158325,0.5494059920310974,0.4981427490711212,2.0076069831848145,1.9574079513549805,0.10305653512477875,-0.3686591684818268,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.007863021455705166
30,30,False,False,0.5557070970535278,0.5545954704284668,0.4981427490711212,2.0076069831848145,1.9758580923080444,0.10228195786476135,-0.29273733496665955,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.00827307440340519
31,31,False,False,0.5590811371803284,0.5584011673927307,0.4981427490711212,2.0076069831848145,1.9871104955673218,0.11499737203121185,-0.23032844066619873,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.007167010102421045
32,32,False,False,0.5606451034545898,0.5604153871536255,0.4981427490711212,2.0076069831848145,1.993920922279358,0.11078011989593506,-0.1838175356388092,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.005841413978487253
33,33,False,False,0.5611374974250793,0.5611017942428589,0.4981427490711212,2.0076069831848145,1.997645378112793,0.0878567099571228,-0.15382377803325653,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.004480782430619001
34,34,False,False,0.5612723231315613,0.5612646341323853,0.4981427490711212,2.0076069831848145,1.9968968629837036,0.0673784613609314,-0.1462724506855011,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0028115359600633383
35,35,False,False,0.5608883500099182,0.5610731840133667,0.4981427490711212,2.0076069831848145,1.9918574094772339,0.053544458001852036,-0.16078442335128784,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.00130468572024256
36,36,False,False,0.5595070719718933,0.5599672794342041,0.4981427490711212,2.0076069831848145,1.9845037460327148,0.038691360503435135,-0.1851656436920166,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0006903490284457803
37,37,False,False,0.5574646592140198,0.5580414533615112,0.4981427490711212,2.0076069831848145,1.9770265817642212,0.013429993763566017,-0.20748154819011688,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0008567561744712293
38,38,False,False,0.5553286075592041,0.5558546185493469,0.4981427490711212,2.0076069831848145,1.9705058336257935,-0.01476979348808527,-0.22196224331855774,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0014941488625481725
39,39,False,False,0.5533552765846252,0.5537928342819214,0.4981427490711212,2.0076069831848145,1.9651134014129639,-0.04147599637508392,-0.2284141331911087,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0022403497714549303
40,40,False,False,0.5509997606277466,0.5516738891601562,0.4981427490711212,2.0076069831848145,1.9618797302246094,-0.073712557554245,-0.2216033637523651,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0033343990799039602
41,41,False,False,0.5474055409431458,0.5484426021575928,0.4981427490711212,2.0076069831848145,1.9630210399627686,-0.0987938866019249,-0.19143658876419067,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.004907139576971531
42,42,False,False,0.54218590259552,0.5436308979988098,0.4981427490711212,2.0076069831848145,1.9658324718475342,-0.10514236241579056,-0.1508219838142395,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.005594253074377775
43,43,False,False,0.5354194641113281,0.5372394919395447,0.4981427490711212,2.0076069831848145,1.967641830444336,-0.10512418299913406,-0.10973326861858368,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.00558712100610137
44,44,False,False,0.5271652936935425,0.5293624401092529,0.4981427490711212,2.0076069831848145,1.967490553855896,-0.10008881241083145,-0.07517644017934799,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.005069917533546686
45,45,False,False,0.5177598595619202,0.5201548933982849,0.4981427490711212,2.0076069831848145,1.964946985244751,-0.09077434986829758,-0.052978940308094025,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.004161964636296034
46,0,True,False,0.6298816204071045,0.5103592276573181,-1.8987925052642822,0.8206847310066223,1.989669919013977,0.0006885745096951723,-0.4528626799583435,0.0,0.0,0.0,0.0,1.0,nan,nan,1.0,0.00333668221719563
47,1,False,False,0.6243074536323547,0.6261489391326904,2.0144734382629395,-0.46930447220802307,1.9987620115280151,0.0020217751152813435,-0.42239195108413696,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.06680465489625931
48,2,False,False,0.6145941615104675,0.6172971725463867,2.0144734382629395,-0.46930447220802307,2.0129923820495605,0.04949183762073517,-0.3667941093444824,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.06424327194690704
49,3,False,False,0.6024985313415527,0.605659544467926,2.0144734382629395,-0.46930447220802307,2.0135414600372314,0.11921670287847519,-0.3438072204589844,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.05235350877046585
50,4,False,False,0.5892587304115295,0.5926269888877869,2.0144734382629395,-0.46930447220802307,2.0009920597076416,0.1821145862340927,-0.3592369556427002,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.038175687193870544
51,5,False,False,0.57574063539505,0.5791003704071045,2.0144734382629395,-0.46930447220802307,1.9813531637191772,0.22102849185466766,-0.4008796215057373,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.02861206792294979
52,6,False,False,0.5628228187561035,0.5659676194190979,2.0144734382629395,-0.46930447220802307,1.9602470397949219,0.22202016413211823,-0.4567185044288635,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0222585778683424
53,7,False,False,0.5513226389884949,0.5540138483047485,2.0144734382629395,-0.46930447220802307,1.9380548000335693,0.20014773309230804,-0.516951322555542,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.01364601869136095
54,8,False,False,0.5420624613761902,0.5441312193870544,2.0144734382629395,-0.46930447220802307,1.9138773679733276,0.19475291669368744,-0.5732902884483337,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.009732231497764587
55,9,False,False,0.5358051657676697,0.5370655059814453,2.0144734382629395,-0.46930447220802307,1.8910071849822998,0.19772358238697052,-0.6221942901611328,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.00614498695358634
56,10,False,False,0.5330845713615417,0.5334271192550659,2.0144734382629395,-0.46930447220802307,1.8715589046478271,0.20160908997058868,-0.6624091267585754,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.005941601004451513
57,11,False,False,0.5341846942901611,0.5335566997528076,2.0144734382629395,-0.46930447220802307,1.8564945459365845,0.2028738409280777,-0.6940247416496277,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.006411208305507898
58,12,False,False,0.5392296314239502,0.5376091599464417,2.0144734382629395,-0.46930447220802307,1.8467066287994385,0.200999453663826,-0.7162858247756958,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.006078676786273718
59,13,False,False,0.5482473373413086,0.5456427931785583,2.0144734382629395,-0.46930447220802307,1.8435508012771606,0.1943839192390442,-0.7275679111480713,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.006639513652771711
60,14,False,False,0.5599319338798523,0.5568411946296692,2.0144734382629395,-0.46930447220802307,1.8563718795776367,0.1876945048570633,-0.7082838416099548,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.007646392565220594
61,15,False,False,0.5725493431091309,0.5693780183792114,2.0144734382629395,-0.46930447220802307,1.8914790153503418,0.1919965147972107,-0.6383958458900452,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0113126365467906
62,16,False,False,0.5850479602813721,0.5819851756095886,2.0144734382629395,-0.46930447220802307,1.9349181652069092,0.21822768449783325,-0.5324697494506836,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.015120002441108227
63,17,False,False,0.5960465669631958,0.5935016870498657,2.0144734382629395,-0.46930447220802307,1.9764447212219238,0.23565228283405304,-0.41195741295814514,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.015985719859600067
64,18,False,False,0.6044726967811584,0.60263592004776,2.0144734382629395,-0.46930447220802307,2.0055065155029297,0.24569390714168549,-0.3088959753513336,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.013070362620055676
65,19,False,False,0.6098740696907043,0.6088136434555054,2.0144734382629395,-0.46930447220802307,2.0210704803466797,0.25732651352882385,-0.23876219987869263,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.008713927119970322
66,20,False,False,0.6122315526008606,0.6119173169136047,2.0144734382629395,-0.46930447220802307,2.0260841846466064,0.27034714818000793,-0.20612883567810059,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.00426942715421319
67,21,False,False,0.6118507385253906,0.6121813654899597,2.0144734382629395,-0.46930447220802307,2.023277759552002,0.28549498319625854,-0.2065867781639099,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0006476491107605398
68,22,False,False,0.6092538237571716,0.6100876927375793,2.0144734382629395,-0.46930447220802307,2.0148401260375977,0.3019031286239624,-0.23019284009933472,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.004648938775062561
69,23,False,False,0.6050252914428711,0.6062135696411133,2.0144734382629395,-0.46930447220802307,2.0027782917022705,0.3179832100868225,-0.26553285121917725,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.00783376395702362
70,24,False,False,0.5997233986854553,0.6011337637901306,2.0144734382629395,-0.46930447220802307,1.988754153251648,0.3339637219905853,-0.3032407760620117,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.008313655853271484
71,25,False,False,0.5940051674842834,0.5954357385635376,2.0144734382629395,-0.46930447220802307,1.9744408130645752,0.3488198220729828,-0.3373972773551941,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.006960779428482056
72,26,False,False,0.5885219573974609,0.5897828936576843,2.0144734382629395,-0.46930447220802307,1.9621355533599854,0.3551885187625885,-0.36592715978622437,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.004784762859344482
73,27,False,False,0.5841525197029114,0.5851333141326904,2.0144734382629395,-0.46930447220802307,1.9551748037338257,0.35283163189888,-0.3804292678833008,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.00042706727981567383
74,28,False,False,0.5810719132423401,0.5817416906356812,2.0144734382629395,-0.46930447220802307,1.9568144083023071,0.34315022826194763,-0.37118959426879883,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0016154991462826729
