step,episode_step,terminated,truncated,ball_x,ball_y,ball_rel_waist_x,ball_rel_waist_y,ball_rel_waist_z,ball_qvel_x,ball_qvel_y,ball_speed_qvel,info_ball_speed,ball_visible,termination_ball_unseen,termination_ball_out,termination_fallen,reward_total
1,1,False,False,0.49809688329696655,2.0050904750823975,1.98800790309906,0.009011022746562958,-0.45034435391426086,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.08950593322515488
2,2,False,False,0.49809688329696655,2.0050904750823975,1.9838671684265137,0.05278024077415466,-0.45628663897514343,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.08236121386289597
3,3,False,False,0.49809688329696655,2.0050904750823975,1.977475881576538,0.11686532944440842,-0.461247056722641,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0753435418009758
4,4,False,False,0.49809688329696655,2.0050904750823975,1.9673190116882324,0.1688564121723175,-0.4731094539165497,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.06685902178287506
5,5,False,False,0.49809688329696655,2.0050904750823975,1.9547687768936157,0.19705498218536377,-0.49546217918395996,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.05801624059677124
6,6,False,False,0.49809688329696655,2.0050904750823975,1.9419403076171875,0.20124001801013947,-0.5248541831970215,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.04964684322476387
7,7,False,False,0.49809688329696655,2.0050904750823975,1.9280234575271606,0.18128134310245514,-0.5625349879264832,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.03971167281270027
8,8,False,False,0.49809688329696655,2.0050904750823975,1.9080168008804321,0.16008929908275604,-0.6154326796531677,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.028002331033349037
9,9,False,False,0.49809688329696655,2.0050904750823975,1.8901629447937012,0.15867722034454346,-0.6588658690452576,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.022669358178973198
10,10,False,False,0.49809688329696655,2.0050904750823975,1.8922258615493774,0.18252724409103394,-0.6537185311317444,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.028562529012560844
11,11,False,False,0.49809688329696655,2.0050904750823975,1.9079028367996216,0.2359686642885208,-0.6080752611160278,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.03034021332859993
