step,episode_step,terminated,truncated,root_qpos_z,info_root_height,ball_x,ball_y,ball_rel_waist_x,ball_rel_waist_y,ball_rel_waist_z,ball_qvel_x,ball_qvel_y,ball_speed_qvel,info_ball_speed,ball_visible,termination_ball_unseen,termination_ball_out,termination_fallen,reward_total
1,1,False,False,0.6213770508766174,0.6237289905548096,0.7285527586936951,1.95388662815094,2.0029358863830566,-0.22687840461730957,-0.42525383830070496,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.09470193088054657
2,2,False,False,0.6097061038017273,0.612898588180542,0.7285527586936951,1.95388662815094,2.0213565826416016,-0.16031941771507263,-0.3793952763080597,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.09096797555685043
3,3,False,False,0.5958232879638672,0.5993983745574951,0.7285527586936951,1.95388662815094,2.0313496589660645,-0.08132423460483551,-0.34892383217811584,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.07773276418447495
4,4,False,False,0.5816776156425476,0.5851612091064453,0.7285527586936951,1.95388662815094,2.0249693393707275,-0.027129707857966423,-0.3636467754840851,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.059603001922369
5,5,False,False,0.5683566927909851,0.5715988278388977,0.7285527586936951,1.95388662815094,2.007201910018921,-0.002959184581413865,-0.4121476411819458,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.04434002563357353
6,6,False,False,0.5565195083618164,0.5593306422233582,0.7285527586936951,1.95388662815094,1.9842336177825928,-0.000673013913910836,-0.47260716557502747,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.03436916694045067
7,7,False,False,0.5463279485702515,0.5488086938858032,0.7285527586936951,1.95388662815094,1.960963487625122,-0.009929540567100048,-0.5293418169021606,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.029435424134135246
8,8,False,False,0.5392885208129883,0.5406999588012695,0.7285527586936951,1.95388662815094,1.9402648210525513,-0.02933701127767563,-0.5762227773666382,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.02758903242647648
9,9,False,False,0.5348294377326965,0.5357964038848877,0.7285527586936951,1.95388662815094,1.9210197925567627,-0.09571707248687744,-0.6140031814575195,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.02618604339659214
10,10,False,False,0.5313619375228882,0.5321717858314514,0.7285527586936951,1.95388662815094,1.919093132019043,-0.10691890865564346,-0.6139888763427734,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.03145600110292435
11,11,False,False,0.5282188057899475,0.5289685726165771,0.7285527586936951,1.95388662815094,1.9383348226547241,-0.060963697731494904,-0.5684030652046204,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0339847095310688
12,12,False,False,0.5254730582237244,0.5260438919067383,0.7285527586936951,1.95388662815094,1.9643381834030151,0.004793863277882338,-0.49731650948524475,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0319175198674202
13,13,False,False,0.523591935634613,0.5240060687065125,0.7285527586936951,1.95388662815094,1.9834059476852417,0.05720967426896095,-0.4336102306842804,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.023205667734146118
14,14,False,False,0.5226625800132751,0.5227888226509094,0.7285527586936951,1.95388662815094,1.9932804107666016,0.10256200283765793,-0.39117908477783203,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.011570395901799202
15,15,False,False,0.5228962302207947,0.5227674841880798,0.7285527586936951,1.95388662815094,1.9943088293075562,0.138767808675766,-0.37694424390792847,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0026458546053618193
16,16,False,False,0.5244128108024597,0.5239686965942383,0.7285527586936951,1.95388662815094,1.987359642982483,0.1676732450723648,-0.3905414342880249,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0018612667918205261
17,17,False,False,0.5270369648933411,0.52629154920578,0.7285527586936951,1.95388662815094,1.9797656536102295,0.1829785406589508,-0.4094417691230774,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.00325176864862442
18,18,False,False,0.529679000377655,0.5291173458099365,0.7285527586936951,1.95388662815094,1.9742087125778198,0.1921454519033432,-0.4227615296840668,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.001797601580619812
19,19,False,False,0.5308640599250793,0.530726969242096,0.7285527586936951,1.95388662815094,1.9774048328399658,0.16806812584400177,-0.415916383266449,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0016220040852203965
20,20,False,False,0.5309289693832397,0.5309630036354065,0.7285527586936951,1.95388662815094,1.9859586954116821,0.12934723496437073,-0.39234015345573425,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0033150974195450544
21,21,False,False,0.530589759349823,0.5307025909423828,0.7285527586936951,1.95388662815094,1.9926066398620605,0.08440671116113663,-0.3724991977214813,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.003025892423465848
22,22,False,False,0.5305737257003784,0.5304011106491089,0.7285527586936951,1.95388662815094,1.992781400680542,0.053299278020858765,-0.3702239394187927,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0017797632608562708
23,23,False,False,0.5324654579162598,0.5317885875701904,0.7285527586936951,1.95388662815094,1.9877339601516724,0.017402293160557747,-0.3864906132221222,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.00048787888954393566
24,24,False,False,0.536805272102356,0.5354763865470886,0.7285527586936951,1.95388662815094,1.9785102605819702,-0.0026715423446148634,-0.4157857894897461,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0007043033838272095
25,25,False,False,0.5426515936851501,0.5411084294319153,0.7285527586936951,1.95388662815094,1.9681317806243896,-0.028813298791646957,-0.4473946988582611,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.00015357496158685535
26,26,False,False,0.5488009452819824,0.5472636222839355,0.7285527586936951,1.95388662815094,1.9676268100738525,-0.058570243418216705,-0.44714468717575073,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.00260222633369267
27,27,False,False,0.5540228486061096,0.5528433322906494,0.7285527586936951,1.95388662815094,1.9760825634002686,-0.07745563238859177,-0.41771891713142395,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.004439722280949354
28,28,False,False,0.5582119226455688,0.5572092533111572,0.7285527586936951,1.95388662815094,1.9886952638626099,-0.08316059410572052,-0.37153875827789307,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.005117656197398901
29,29,False,False,0.56171053647995,0.5609391331672668,0.7285527586936951,1.95388662815094,1.9992438554763794,-0.07297052443027496,-0.32955431938171387,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.004431526642292738
30,30,False,False,0.564435601234436,0.5637922286987305,0.7285527586936951,1.95388662815094,2.002471923828125,-0.07071827352046967,-0.30967217683792114,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0028764514718204737
31,31,False,False,0.5670216679573059,0.566364049911499,0.7285527586936951,1.95388662815094,2.0035669803619385,-0.06890029460191727,-0.29754117131233215,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.002113613998517394
32,32,False,False,0.5700289011001587,0.5692315101623535,0.7285527586936951,1.95388662815094,2.0012898445129395,-0.06524328887462616,-0.2993851602077484,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.001069103367626667
33,33,False,False,0.5724316239356995,0.5719802975654602,0.7285527586936951,1.95388662815094,2.0010063648223877,-0.04586812108755112,-0.29490867257118225,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0013382902834564447
34,34,False,False,0.5727888941764832,0.5729650259017944,0.7285527586936951,1.95388662815094,2.00797963142395,-0.027118904516100883,-0.2583136558532715,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0032659422140568495
35,35,False,False,0.5701998472213745,0.5711042881011963,0.7285527586936951,1.95388662815094,2.0163371562957764,-0.02486204355955124,-0.2069299966096878,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.004111655987799168
36,36,False,False,0.5659362077713013,0.5671160221099854,0.7285527586936951,1.95388662815094,2.0216970443725586,-0.03632894530892372,-0.1610099971294403,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0034661178942769766
37,37,False,False,0.5613192915916443,0.5623766779899597,0.7285527586936951,1.95388662815094,2.0217020511627197,-0.04600954055786133,-0.14058829843997955,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0015167180681601167
38,38,False,False,0.5577681660652161,0.5585346817970276,0.7285527586936951,1.95388662815094,2.0152430534362793,-0.0645332857966423,-0.15726397931575775,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0029996782541275024
39,39,False,False,0.5552430748939514,0.5558120608329773,0.7285527586936951,1.95388662815094,2.002356767654419,-0.07999468594789505,-0.20695215463638306,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.008729249238967896
40,40,False,False,0.5538581609725952,0.5541346073150635,0.7285527586936951,1.95388662815094,1.983210802078247,-0.12554389238357544,-0.27102789282798767,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.009383708238601685
41,41,False,False,0.5526149868965149,0.5528932213783264,0.7285527586936951,1.95388662815094,1.9662284851074219,-0.18308192491531372,-0.3108057677745819,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0012642145156860352
42,42,False,False,0.5518922209739685,0.5520626306533813,0.7285527586936951,1.95388662815094,1.9626917839050293,-0.2100464105606079,-0.30486321449279785,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0025871729012578726
43,43,False,False,0.5508607625961304,0.5511623620986938,0.7285527586936951,1.95388662815094,1.9641621112823486,-0.23263686895370483,-0.27715322375297546,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0042399633675813675
44,44,False,False,0.5493667721748352,0.5497869253158569,0.7285527586936951,1.95388662815094,1.9675931930541992,-0.23491564393043518,-0.24522311985492706,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.004685958847403526
45,45,False,False,0.5473441481590271,0.5478933453559875,0.7285527586936951,1.95388662815094,1.9716413021087646,-0.22278612852096558,-0.21269762516021729,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.004651288501918316
46,46,False,False,0.545180082321167,0.5456835627555847,0.7285527586936951,1.95388662815094,1.9755278825759888,-0.20081448554992676,-0.1813133805990219,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.004362902138382196
47,47,False,False,0.5436303019523621,0.5438902378082275,0.7285527586936951,1.95388662815094,1.978392481803894,-0.1719542145729065,-0.1546264886856079,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.003714360296726227
48,48,False,False,0.5439123511314392,0.5436619520187378,0.7285527586936951,1.95388662815094,1.9785274267196655,-0.1456238031387329,-0.13913612067699432,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0025239947717636824
49,49,False,False,0.5453276038169861,0.5449600219726562,0.7285527586936951,1.95388662815094,1.979266881942749,-0.11323805153369904,-0.1201031506061554,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0021840783301740885
50,50,False,False,0.5467495918273926,0.5464021563529968,0.7285527586936951,1.95388662815094,1.9830201864242554,-0.09232595562934875,-0.0730886310338974,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0033372945617884398
51,51,False,False,0.5478470325469971,0.5476052165031433,0.7285527586936951,1.95388662815094,1.986019253730774,-0.09555430710315704,-0.01128822285681963,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0037765472661703825
52,52,False,False,0.548324704170227,0.548304557800293,0.7285527586936951,1.95388662815094,1.9857959747314453,-0.08089984953403473,0.03006484918296337,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.002655838383361697
53,53,False,False,0.547649621963501,0.5479468107223511,0.7285527586936951,1.95388662815094,1.9821102619171143,-0.06580156087875366,0.04218707233667374,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.001460666419006884
54,54,False,False,0.5459480285644531,0.5464308857917786,0.7285527586936951,1.95388662815094,1.9761275053024292,-0.0635959655046463,0.03391966596245766,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0011514754733070731
55,55,False,False,0.544512152671814,0.5448209047317505,0.7285527586936951,1.95388662815094,1.968301773071289,-0.08038145303726196,0.012228447012603283,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0009938158327713609
