step,episode_step,terminated,truncated,ball_x,ball_y,ball_rel_waist_x,ball_rel_waist_y,ball_rel_waist_z,ball_qvel_x,ball_qvel_y,ball_speed_qvel,info_ball_speed,ball_visible,termination_ball_unseen,termination_ball_out,termination_fallen,reward_total
1,1,False,False,0.7285920977592468,1.9538425207138062,1.995521903038025,-0.22660309076309204,-0.4484577775001526,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0893051028251648
2,2,False,False,0.7285920977592468,1.9538425207138062,1.99844229221344,-0.1782386302947998,-0.4495042562484741,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.08137863874435425
3,3,False,False,0.7285920977592468,1.9538425207138062,2.001060962677002,-0.1128062903881073,-0.44961607456207275,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.07338254898786545
4,4,False,False,0.7285920977592468,1.9538425207138062,1.9985647201538086,-0.060405563563108444,-0.45665788650512695,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0645243376493454
5,5,False,False,0.7285920977592468,1.9538425207138062,1.991159200668335,-0.032235532999038696,-0.47308218479156494,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.05566013976931572
6,6,False,False,0.7285920977592468,1.9538425207138062,1.9796499013900757,-0.03758911043405533,-0.4995768070220947,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.047017600387334824
7,7,False,False,0.7285920977592468,1.9538425207138062,1.9620453119277954,-0.0600789450109005,-0.5421432256698608,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.03702469542622566
8,8,False,False,0.7285920977592468,1.9538425207138062,1.9402300119400024,-0.0723390206694603,-0.5942181348800659,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.029180342331528664
9,9,False,False,0.7285920977592468,1.9538425207138062,1.933621883392334,-0.0645403116941452,-0.6087388396263123,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.03469623252749443
10,10,False,False,0.7285920977592468,1.9538425207138062,1.9514368772506714,-0.04577406495809555,-0.5639510750770569,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.040353622287511826
11,11,False,False,0.7285920977592468,1.9538425207138062,1.9770598411560059,-0.021444370970129967,-0.49579402804374695,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.03741637244820595
12,12,False,False,0.7285920977592468,1.9538425207138062,1.9921423196792603,-0.01648368127644062,-0.44954654574394226,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.026515761390328407
13,13,False,False,0.7285920977592468,1.9538425207138062,1.9978314638137817,0.01388925313949585,-0.43007001280784607,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.014427823014557362
14,14,False,False,0.7285920977592468,1.9538425207138062,1.997352123260498,0.04404549300670624,-0.42806029319763184,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.003787033958360553
15,15,False,False,0.7285920977592468,1.9538425207138062,1.9934643507003784,0.08234184980392456,-0.43539154529571533,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0014697015285491943
16,16,False,False,0.7285920977592468,1.9538425207138062,1.9879966974258423,0.11068715900182724,-0.44700416922569275,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.003424249589443207
17,17,False,False,0.7285920977592468,1.9538425207138062,1.9863612651824951,0.14697684347629547,-0.44414424896240234,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0006312504410743713
18,18,False,False,0.7285920977592468,1.9538425207138062,1.9946768283843994,0.12354470789432526,-0.42240893840789795,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0015488656936213374
19,19,False,False,0.7285920977592468,1.9538425207138062,2.0014030933380127,0.08304223418235779,-0.40585270524024963,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.001019345480017364
20,20,False,False,0.7285920977592468,1.9538425207138062,2.0020134449005127,0.04732600599527359,-0.4047343134880066,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0008748471736907959
21,21,False,False,0.7285920977592468,1.9538425207138062,1.998203992843628,0.024672485888004303,-0.4152994453907013,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0038279592990875244
22,22,False,False,0.7285920977592468,1.9538425207138062,1.9903202056884766,-0.002160482108592987,-0.4376381039619446,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.006364732980728149
23,23,False,False,0.7285920977592468,1.9538425207138062,1.9808257818222046,-0.04247155040502548,-0.46198341250419617,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.006107017397880554
24,24,False,False,0.7285920977592468,1.9538425207138062,1.9723807573318481,-0.08560505509376526,-0.4803982079029083,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.004363879561424255
25,25,False,False,0.7285920977592468,1.9538425207138062,1.9683843851089478,-0.1232527643442154,-0.4837300777435303,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,5.945851080468856e-05
26,26,False,False,0.7285920977592468,1.9538425207138062,1.973740816116333,-0.1491229385137558,-0.46126657724380493,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0020160693675279617
27,27,False,False,0.7285920977592468,1.9538425207138062,1.980074167251587,-0.17844000458717346,-0.43202704191207886,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.002533050486817956
28,28,False,False,0.7285920977592468,1.9538425207138062,1.9859110116958618,-0.16213029623031616,-0.41562193632125854,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0016324209282174706
29,29,False,False,0.7285920977592468,1.9538425207138062,1.9852741956710815,-0.1481868475675583,-0.4177161753177643,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.00027011518250219524
30,30,False,False,0.7285920977592468,1.9538425207138062,1.9829148054122925,-0.11458715796470642,-0.4310188293457031,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0031517446041107178
31,31,False,False,0.7285920977592468,1.9538425207138062,1.9725219011306763,-0.10801239311695099,-0.46356815099716187,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.00861048698425293
32,32,False,False,0.7285920977592468,1.9538425207138062,1.9622052907943726,-0.07845130562782288,-0.4983586072921753,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.010186657309532166
33,33,False,False,0.7285920977592468,1.9538425207138062,1.9589101076126099,-0.05540997534990311,-0.5121078491210938,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.005798637866973877
34,34,False,False,0.7285920977592468,1.9538425207138062,1.9692442417144775,-0.06515610218048096,-0.48641395568847656,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0009173802100121975
35,35,False,False,0.7285920977592468,1.9538425207138062,1.981340765953064,-0.10912006348371506,-0.44786033034324646,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0020555031951516867
36,36,False,False,0.7285920977592468,1.9538425207138062,1.9907548427581787,-0.13687744736671448,-0.41371357440948486,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.002086326712742448
37,37,False,False,0.7285920977592468,1.9538425207138062,1.9992320537567139,-0.14849404990673065,-0.3818749487400055,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0020044585689902306
38,38,False,False,0.7285920977592468,1.9538425207138062,2.0063843727111816,-0.1462298184633255,-0.3562048077583313,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0015442580915987492
39,39,False,False,0.7285920977592468,1.9538425207138062,2.005837917327881,-0.16495060920715332,-0.3525264859199524,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.00033695000456646085
40,40,False,False,0.7285920977592468,1.9538425207138062,1.9958194494247437,-0.19467481970787048,-0.3803631663322449,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0061271339654922485
41,41,False,False,0.7285920977592468,1.9538425207138062,1.9836572408676147,-0.1999138593673706,-0.4222669005393982,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.009960532188415527
42,42,False,False,0.7285920977592468,1.9538425207138062,1.9778670072555542,-0.19911976158618927,-0.44433796405792236,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.006689280271530151
43,43,False,False,0.7285920977592468,1.9538425207138062,1.9791911840438843,-0.18988223373889923,-0.4465191662311554,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0037692487239837646
44,44,False,False,0.7285920977592468,1.9538425207138062,1.9836184978485107,-0.14538566768169403,-0.4476238191127777,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.004982650279998779
45,45,False,False,0.7285920977592468,1.9538425207138062,1.9839060306549072,-0.0896155908703804,-0.4595739245414734,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.00898897647857666
46,46,False,False,0.7285920977592468,1.9538425207138062,1.9787070751190186,-0.06043991446495056,-0.4813467264175415,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.013303682208061218
47,47,False,False,0.7285920977592468,1.9538425207138062,1.9705783128738403,-0.008086159825325012,-0.5103561878204346,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.015772655606269836
48,48,False,False,0.7285920977592468,1.9538425207138062,1.9575445652008057,0.06203647702932358,-0.5465635061264038,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.017499998211860657
49,49,False,False,0.7285920977592468,1.9538425207138062,1.9446158409118652,0.1580166220664978,-0.5694282054901123,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.013748258352279663
50,50,False,False,0.7285920977592468,1.9538425207138062,1.9441654682159424,0.2210317999124527,-0.5593356490135193,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.006186887621879578
51,51,False,False,0.7285920977592468,1.9538425207138062,1.9477676153182983,0.26765739917755127,-0.5385439991950989,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0038392841815948486
52,52,False,False,0.7285920977592468,1.9538425207138062,1.9474034309387207,0.2913705110549927,-0.5324903130531311,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.007456988096237183
53,53,False,False,0.7285920977592468,1.9538425207138062,1.9458526372909546,0.2798689603805542,-0.5423943996429443,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.012072548270225525
54,54,False,False,0.7285920977592468,1.9538425207138062,1.9415618181228638,0.2577544152736664,-0.5637010335922241,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.01650005578994751
55,55,False,False,0.7285920977592468,1.9538425207138062,1.935369610786438,0.22662636637687683,-0.592975378036499,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.020684152841567993
