step,episode_step,terminated,truncated,ball_x,ball_y,ball_rel_waist_x,ball_rel_waist_y,ball_rel_waist_z,ball_qvel_x,ball_qvel_y,ball_speed_qvel,info_ball_speed,ball_visible,termination_ball_unseen,termination_ball_out,termination_fallen,reward_total
1,1,False,False,0.7285920977592468,1.9538425207138062,1.9955214262008667,-0.22660410404205322,-0.4484596848487854,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.08930448442697525
2,2,False,False,0.7285920977592468,1.9538425207138062,1.9984451532363892,-0.1782224327325821,-0.4495006501674652,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.08137920498847961
3,3,False,False,0.7285920977592468,1.9538425207138062,2.0010645389556885,-0.11277156323194504,-0.44961071014404297,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.07338109612464905
4,4,False,False,0.7285920977592468,1.9538425207138062,1.9985694885253906,-0.06033448129892349,-0.45665085315704346,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.06452339887619019
5,5,False,False,0.7285920977592468,1.9538425207138062,1.9911469221115112,-0.03190700709819794,-0.4731341004371643,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.05564473941922188
6,6,False,False,0.7285920977592468,1.9538425207138062,1.979648232460022,-0.037224650382995605,-0.4996025562286377,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.047036927193403244
7,7,False,False,0.7285920977592468,1.9538425207138062,1.9620566368103027,-0.059692930430173874,-0.5421541929244995,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.03703244403004646
8,8,False,False,0.7285920977592468,1.9538425207138062,1.9400931596755981,-0.07266351580619812,-0.594559907913208,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.029053276404738426
9,9,False,False,0.7285920977592468,1.9538425207138062,1.933416485786438,-0.06425797939300537,-0.6093162298202515,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.03460032865405083
10,10,False,False,0.7285920977592468,1.9538425207138062,1.9512319564819336,-0.045584555715322495,-0.5645603537559509,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.04034695774316788
